Critical Analyses-Microbiology Course Total	47	3.944	89.4 4.3 .  2.1 .  .	.	2.1	.	.	.		.	2.1	.	.  .
Microbiome-Plants/Anmls/Humans 335 001	20	3.684	55.0 20.0 20.0 ...	.	.	.	.	.	.		.	.	5.0 .
375 001	13	3.962	92.3 7.7 ....	.	.	.	.	.	.		.	.	..
375 003	8	4.000	100.0 .....	.	.	.	.	.	.		.	.	..
Special Topics Course Total	21	3.971	95.2 4.8 .  .  .  .	.	.	.	.	.		.		.  .	.  .
Divrsty, Ecol&Evolutn-Microrg 450 001	65	3.509	44.6 18.5 10.8 9.2 4.6 .	.	10.8	.	.	.	.		.	1.5	..
Micro Genetics & Mol Machines 470 001	66	3.309	30.3 3.0 43.9 .6.1 .	.	13.6	1.5	.	.	.		.	.	1.5 .
Soil Microbiology & Biochem 523 001	14	3.700	57.1 .7.1 .7.1 .	.	21.4	7.1	.	.	.		.	.	..
Physiol of Microorganisms 526 001	79	3.570	49.4 21.5 12.7 .3.8 2.5	.	7.6	2.5	.	.	.		.	.	..
Topics in Biotechnology 545 001	35	3.943	94.3 .5.7 ...	.	.	.	.	.	.		.	.	..
551 001	23	3.825	69.6 8.7 4.3 4.3 ..	.	8.7	.	.	.	.		4.3	.	..
551 002	24	3.688	62.5 12.5 25.0 ...	.	.	.	.	.	.		.	.	..
551 003	13	3.917	84.6 .7.7 ...	.	.	.	.	.	.		7.7	.	..
551 004	17	3.750	76.5 .11.8 .5.9 .	.	5.9	.	.	.	.		.	.	..
Capstone Rsch Proj Microbio Course Total	77	3.778	71.4 6.5 13.0 1.3 1.3 .	.	3.9	.	.	.		.	2.6	.	.  .
682 005	1	***					.	.	.		.	.	..
682 008	1	***					.	.	.		.	.	..
682 024	1	***					.	.	.		.	.	..
August 24, 2020													Page 10 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
ALS													
MICROBIOLOGY Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
192 MICROBIO Grades		GPA											
Senior Honors Thesis Course Total	3	***											
699 005	1	***						.	.	.	.	.	..
699 006	4	***						.	.	.	.	.	..
699 008	1	***						.	.	.	.	.	..
699 013	1	***						.	.	.	.	.	..
699 014	1	***						.	.	.	.	.	..
699 015	1	***						.	.	.	.	.	..
699 030	2	***						.	.	.	.	.	..
699 034	1	***						.	.	.	.	.	..
699 043	1	***						.	.	.	.	.	..
699 096	2	***						.	.	.	.	.	..
699 098	3	***						.	.	.	.	.	..
Special Problems Course Total	18	3.971	77.8 5.6 .  .  .  .		.	5.6	.	.	.	11.1		.  .	.  .
Seminar 731 001	45	4.000	100.0 .....	.		.	.	.	.	.	.	.	..
Adv Problems in Microbiology 811 001	24	4.000	100.0 .....	.		.	.	.	.	.	.	.	..
875 003	2	***						.	.	.	.	.	..
875 004	4	***						.	.	.	.	.	..
Special Topics Course Total	6	4.000	100.0 .  .  .  .  .		.	.	.	.	.	.		.  .	.  .
Smr-Molecular Biosci (Adv) 914 001	3	***						.	.	.	.	.	..
Reg Gene Expression Adv Sem 917 001	2	***						.	.	.	.	.	..
Biotechnol Traing Prgm Smr 932 001	1	***						.	.	.	.	.	..
990 002	1	***						.	.	.	.	.	..
990 005	5	***						.	.	.	.	.	..
990 008	2	***						.	.	.	.	.	..
990 009	3	***						.	.	.	.	.	..
990 010	3	***						.	.	.	.	.	..
990 014	2	***						.	.	.	.	.	..
990 023	1	***						.	.	.	.	.	..
990 026	1	***						.	.	.	.	.	..
990 030	3	***						.	.	.	.	.	..
990 034	6		......	.		33.3	.	.	.	66.7	.	.	..
990 037	1	***						.	.	.	.	.	..
990 043	6		......	.		16.7	.	.	.	83.3	.	.	..
990 057	1	***						.	.	.	.	.	..
990 061	2	***						.	.	.	.	.	..
990 071	11		......	.		9.1	.	.	.	90.9	.	.	..
990 095	1	***						.	.	.	.	.	..
990 096	3	***						.	.	.	.	.	..
990 098	1	***						.	.	.	.	.	..
Research Course Total	53		.  .  .  .  .  .		.	39.6	.	.	.	60.4		.  .	.  .
August 24, 2020													Page 11 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades								Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison									
""			(Non-Cross Listed)									
ALS												
MICROBIOLOGY Section	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P	I	NW	NR Other
192 MICROBIO	Grades	GPA										
192 MICROBIO Dept. Total	1320	3.548	50.2 12.9 18.0 2.5 2.3 0.4	0.2	9.4	0.8	.	.	2.6	0.4	0.1	0.3 .
Summary by Level	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P	I	NW	NR Other
GPA192 MICROBIO	Grades											
Freshmen	23	3.480	34.8 17.4 21.7 .  4.3 .	.	13.0	8.7	.	.	.		.  .	.  .
Sophomore	123	3.363	27.6 17.9 33.3 2.4 3.3 .	.	13.0	1.6	.	.	.		.  .	0.8 .
Junior	327	3.472	47.7 13.8 19.9 3.7 2.8 0.9	0.6	9.8	0.6	.	.	.	0.3	.	.  .
Senior	629	3.582	54.2 13.5 18.0 2.9 2.7 0.3	.	7.3	0.5	.	.	.	0.6	.	.  .
Undergraduates	1102	3.521	48.9 14.2 20.3 3.0 2.8 0.5	0.2	8.8	0.8	.	.	.	0.5	.	0.1 .
Special	24	3.622	33.3 25.0 16.7 .  .  .	.	8.3	.	.	.	.		.  4.2	12.5 .
Graduate	191	3.821	60.2 4.2 5.2 .  .  .	.	12.6	0.5	.	.	17.3		.  .	.  .
Prof Yr 2	1	***					.	.	.		.  .	.  .
Prof Yr 3	2	***					.	.	50.0		.  .	.  .
Professionals	3	***					.	.	33.3		.  .	.  .
Dept. Total	1320	3.548	50.2 12.9 18.0 2.5 2.3 0.4	0.2	9.4	0.8	.	.	2.6	0.4	0.1	0.3 .
August 24, 2020												Page 12 of 447
* Please note: This report does not combine crosslisted courses												
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.												
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"												
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
ALS														
BIOCHEMISTRY Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
200 BIOCHEM Grades		GPA												
Biochemistry Freshman Seminar 100 001	30	3.926	80.0 6.7 3.3 ...	.		.	10.0	.	.	.		.	.	..
299 010	1	***						.	.	.		.	.	..
299 039	1	***						.	.	.		.	.	..
299 041	2	***						.	.	.		.	.	..
299 046	28	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
299 074	1	***						.	.	.		.	.	..
299 078	2	***						.	.	.		.	.	..
299 080	1	***						.	.	.		.	.	..
299 085	1	***						.	.	.		.	.	..
Independent Study Course Total	37	4.000	100.0 .  .  .  .  .	.		.	.	.	.		.		.  .	.  .
Survey of Biochemistry 301 001	33	3.224	33.3 6.1 27.3 9.1 12.1 .	.		12.1	.	.	.	.		.	.	..
Coord Intrnshp/Cooprtv Educ 399 046	1	***						.	.	.		.	.	..
501 001	227	3.400	38.8 13.2 16.7 5.3 5.3 1.8	0.4		18.1	0.4	.	.	.		.	.	..
501 002	269	3.466	40.9 16.4 13.8 4.5 4.8 1.9	.		17.5	0.4	.	.	.		.	.	..
Introduction-Biochemistry Course Total	496	3.436	39.9 14.9 15.1 4.8 5.0 1.8	0.2		17.7	0.4	.	.		.		.  .	.  .
General Biochemistry II 508 001	158	3.447	31.6 24.1 20.3 3.2 2.5 1.3	.		15.8	0.6	.	.	.		.	.	0.6 .
Nutr Biochm & Mtblsm 510 001	54	3.765	70.4 5.6 13.0 ..1.9	.		7.4	1.9	.	.	.		.	.	..
Topics in Medical Biochem 550 001	50	3.511	34.0 36.0 18.0 4.0 2.0 .	.		6.0	.	.	.	.		.	.	..
Biochemical Methods 551 001	100	3.760	68.0 19.0 5.0 6.0 ..	.		2.0	.	.	.	.		.	.	..
Comp Modeling of Bio Systems 570 001	27	3.850	51.9 22.2 ....	.		7.4	14.8	.	.	.		.	.	3.7 .
Biology of Viruses 575 001	43	3.217	18.6 9.3 16.3 .7.0 2.3	.		34.9	7.0	.	.	.		.	.	2.3 2.3
Math Mthds for Systems Biology 609 001	1	***						.	.	.		.	.	..
Eukaryotic Molecular Biology 620 001	40	3.279	22.5 20.0 32.5 7.5 .2.5	.		10.0	5.0	.	.	.		.	.	..
Mechanisms-Vitamins & Minerals 625 001	24	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Biophysical Chemistry 665 001	1	***						.	.	.		.	.	..
682 039	2	***						.	.	.		.	.	..
682 053	1	***						.	.	.		.	.	..
682 074	1	***						.	.	.		.	.	..
682 082	1	***						.	.	.		.	.	..
Senior Honors Thesis Course Total	5	***												
699 039	7	3.917	85.7 .14.3 ...	.		.	.	.	.	.		.	.	..
699 040	2	***						.	.	.		.	.	..
699 041	5	***						.	.	.		.	.	..
699 043	1	***						.	.	.		.	.	..
699 044	2	***						.	.	.		.	.	..
699 049	2	***						.	.	.		.	.	..
699 053	3	***						.	.	.		.	.	..
699 054	9	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
699 057	1	***						.	.	.		.	.	..
699 058	1	***						.	.	.		.	.	..
699 059	2	***						.	.	.		.	.	..
August 24, 2020														Page 13 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
ALS														
BIOCHEMISTRY Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
200 BIOCHEM Grades		GPA												
699 066	1	***						.	.	.		.	.	..
699 074	1	***						.	.	.		.	.	..
699 077	2	***						.	.	.		.	.	..
699 078	2	***						.	.	.		.	.	..
699 079	2	***						.	.	.		.	.	..
699 080	2	***						.	.	.		.	.	..
699 081	3	***						.	.	.		.	.	..
699 083	3	***						.	.	.		.	.	..
699 084	1	***						.	.	.		.	.	..
699 086	1	***						.	.	.		.	.	..
699 087	3	***						.	.	.		.	.	..
699 088	2	***						.	.	.		.	.	..
699 089	1	***						.	.	.		.	.	..
Special Problems Course Total	59	3.993	94.9 .  1.7 .  .  .		.	.	.	.	.		.		.  .	3.4 .
729 002	14	4.000	35.7 .....	.		64.3	.	.	.	.		.	.	..
729 005	5	***						.	.	.		.	.	..
729 008	44	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
729 009	9	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
729 010	17	3.882	94.1 ...5.9 .	.		.	.	.	.	.		.	.	..
Advanced Topics Course Total	89	3.976	88.8 .  .  .  1.1 .		.	10.1	.	.	.		.		.  .	.  .
Biochem Appl-Nuc Mag Resonc 801 001	3	***						.	.	.		.	.	..
Topic-Macromoleculr/Biophys 872 002	4	***						.	.	.		.	.	..
Smr-Molecular Virolgy (Adv) 910 001	8	4.000	12.5 .....	.		87.5	.	.	.	.		.	.	..
Smr-RiboGroup (Advanced) 913 001	2	***						.	.	.		.	.	..
Smr-Molecular Biosci (Adv) 914 001	1	***						.	.	.		.	.	..
Reg Gene Expression Adv Sem 917 001	3	***						.	.	.		.	.	..
Biotechnol Traing Prgm Smr 932 001	15	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Seminar-Chemical Biology (Adv) 945 001	4	***						.	.	.		.	.	..
990 010	1	***						.	.	.		.	.	..
990 039	4	***						.	.	.		.	.	..
990 041	4	***						.	.	.		.	.	..
990 043	3	***						.	.	.		.	.	..
990 050	2	***						.	.	.		.	.	..
990 053	1	***						.	.	.		.	.	..
990 057	2	***						.	.	.		.	.	..
990 058	1	***						.	.	.		.	.	..
990 059	3	***						.	.	.		.	.	..
990 065	3	***						.	.	.		.	.	..
990 066	1	***						.	.	.		.	.	..
990 069	1	***						.	.	.		.	.	..
990 071	1	***						.	.	.		.	.	..
990 074	5	***						.	.	.		.	.	..
August 24, 2020														Page 14 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
ALS													
BIOCHEMISTRY Section #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
200 BIOCHEM Grades		GPA											
990 075 7			......	.		28.6	.	.	.	71.4	.	.	..
990 077 8			......	.		.	.	.	.	100.0	.	.	..
990 078 3		***						.	.	.	.	.	..
990 079 4		***						.	.	.	.	.	..
990 080 4		***						.	.	.	.	.	..
990 081 8			......	.		100.0	.	.	.	.	.	.	..
990 082 4		***						.	.	.	.	.	..
990 083 4		***						.	.	.	.	.	..
990 084 2		***						.	.	.	.	.	..
990 085 3		***						.	.	.	.	.	..
990 086 2		***						.	.	.	.	.	..
990 087 2		***						.	.	.	.	.	..
990 088 2		***						.	.	.	.	.	..
990 090 2		***						.	.	.	.	.	..
Research Course Total 87			.  .  .  .  .  .	.		55.2	1.1	.	.	43.7		.  .	.  .
200 BIOCHEM Dept. Total 1375		3.572	48.4 12.7 11.7 3.1 2.8 1.0	0.1		15.8	1.2	.	.	2.8		.  .	0.4 0.1
Summary by Level #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
GPA200 BIOCHEMGrades													
Freshmen 6		3.700	50.0 16.7 16.7 .  .  .	.		.	16.7	.	.	.		.  .	.  .
Sophomore 43		3.383	51.2 9.3 16.3 4.7 2.3 2.3	.		9.3	4.7	.	.	.		.  .	.  .
Junior 246		3.485	43.9 12.6 12.6 4.1 4.5 1.6	.		19.5	0.8	.	.	.		.  .	0.4 .
Senior 777		3.593	50.1 15.8 13.5 3.3 2.8 1.2	.		11.8	1.2	.	.	.		.  .	0.3 .
Undergraduates 1072		3.564	48.7 14.8 13.4 3.5 3.2 1.3	.		13.4	1.3	.	.	.		.  .	0.3 .
Special 24		3.719	54.2 12.5 12.5 4.2 .  .	.		4.2	.	.	.	.		.  .	8.3 4.2
Graduate 269		3.598	46.5 4.5 5.2 1.5 1.5 .	0.4		26.4	1.1	.	.	13.0		.  .	.  .
Prof Yr 2 3		***						.	.	33.3		.  .	.  .
Prof Yr 4 7		4.000	71.4 .  .  .  .  .	.		.	.	.	.	28.6		.  .	.  .
Professionals 10		4.000	60.0 .  .  .  .  .	.		10.0	.	.	.	30.0		.  .	.  .
Dept. Total 1375		3.572	48.4 12.7 11.7 3.1 2.8 1.0	0.1		15.8	1.2	.	.	2.8		.  .	0.4 0.1
August 24, 2020													Page 15 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
ALS														
DAIRY SCIENCE Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
292 DY SCI Grades		GPA												
Dairy Herd Management II 234 001	16	3.938	87.5 12.5 ....	.		.	.	.	.	.		.	.	..
Pre-Capstone Seminar 272 001	12	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
299 002	4	***						.	.	.		.	.	..
299 005	5	***						.	.	.		.	.	..
299 006	1	***						.	.	.		.	.	..
299 032	2	***						.	.	.		.	.	..
Independent Study Course Total	12	4.000	100.0 .  .  .  .  .		.	.	.	.	.		.		.  .	.  .
Comparative Animal Nutritn 311 001	8	2.857	12.5 12.5 37.5 12.5 .12.5	.		.	12.5	.	.	.		.	.	..
Intro to Animal & Vet Genetics 361 001	21	2.875	4.8 9.5 23.8 4.8 14.3 .	.		38.1	4.8	.	.	.		.	.	..
Veterinary Genetics 362 001	3	***						.	.	.		.	.	..
Principles of Animal Breeding 363 001	16	3.321	43.8 .31.3 6.3 .6.3	.		6.3	6.3	.	.	.		.	.	..
Animal Physiology 373 001	17	3.429	29.4 23.5 23.5 .5.9 .	.		17.6	.	.	.	.		.	.	..
375 003	9	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
375 004	15	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Special Topics Course Total	24	4.000	100.0 .  .  .  .  .		.	.	.	.	.		.		.  .	.  .
399 005	2	***						.	.	.		.	.	..
399 007	1	***						.	.	.		.	.	..
399 024	3	***						.	.	.		.	.	..
Coord Intrnshp/Cooprtv Educ Course Total	6	4.000	100.0 .  .  .  .  .		.	.	.	.	.		.		.  .	.  .
Food Production & Sustainblty 471 001	12	3.875	83.3 8.3 8.3 ...	.		.	.	.	.	.		.	.	..
Animal Ag & Sustainable Devel 472 001	10	3.750	60.0 .20.0 ...	.		10.0	.	.	.	.		10.0	.	..
Reproductive Management 534 001	9	3.833	77.8 11.1 11.1 ...	.		.	.	.	.	.		.	.	..
699 002	1	***						.	.	.		.	.	..
699 005	3	***						.	.	.		.	.	..
699 006	2	***						.	.	.		.	.	..
699 007	4	***						.	.	.		.	.	..
699 014	1	***						.	.	.		.	.	..
699 024	3	***						.	.	.		.	.	..
Special Problems Course Total	14	4.000	100.0 .  .  .  .  .		.	.	.	.	.		.		.  .	.  .
799 014	1	***						.	.	.		.	.	..
799 032	2	***						.	.	.		.	.	..
Pract-Dairy Science Tchng Course Total	3	***												
900 001	21	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
900 007	6	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Seminar Course Total	27	4.000	100.0 .  .  .  .  .		.	.	.	.	.		.		.  .	.  .
990 002	2	***						.	.	.		.	.	..
990 005	6		......	.		100.0	.	.	.	.		.	.	..
990 006	3	***						.	.	.		.	.	..
990 007	3	***						.	.	.		.	.	..
990 012	2	***						.	.	.		.	.	..
990 014	3	***						.	.	.		.	.	..
August 24, 2020														Page 16 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
ALS													
DAIRY SCIENCE Section #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
292 DY SCI Grades		GPA											
990 015 1		***						.	.	.	.	.	..
990 017 2		***						.	.	.	.	.	..
990 018 1		***						.	.	.	.	.	..
990 020 1		***						.	.	.	.	.	..
990 026 1		***						.	.	.	.	.	..
990 032 3		***						.	.	.	.	.	..
990 037 1		***						.	.	.	.	.	..
Research Course Total 29			.  .  .  .  .  .		.	72.4	.	.	.	27.6		.  .	.  .
292 DY SCI Dept. Total 239		3.704	62.8 4.6 9.2 1.3 1.7 0.8		.	14.6	1.3	.	.	3.3	0.4	.	.  .
Summary by Level #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
GPA292 DY SCIGrades													
Freshmen 7		4.000	100.0 .  .  .  .  .		.	.	.	.	.	.		.  .	.  .
Sophomore 36		3.686	69.4 2.8 11.1 .  2.8 2.8		.	11.1	.	.	.	.		.  .	.  .
Junior 49		3.574	55.1 8.2 18.4 6.1 2.0 .		.	10.2	.	.	.	.		.  .	.  .
Senior 83		3.690	68.7 7.2 10.8 .  2.4 1.2		.	4.8	3.6	.	.	.	1.2	.	.  .
Undergraduates 175		3.664	66.3 6.3 12.6 1.7 2.3 1.1		.	7.4	1.7	.	.	.	0.6	.	.  .
Graduate 64		4.000	53.1 .  .  .  .  .		.	34.4	.	.	.	12.5		.  .	.  .
Dept. Total 239		3.704	62.8 4.6 9.2 1.3 1.7 0.8		.	14.6	1.3	.	.	3.3	0.4	.	.  .
August 24, 2020													Page 17 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
ALS														
ENTOMOLOGY Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
355 ENTOM Grades		GPA												
Insects and Human Culture 201 001	114	3.681	42.1 42.1 7.0 0.9 ..	.		7.9	.	.	.	.		.	.	..
Introduction to Global Health 203 001	13	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
299 005	2	***						.	.	.		.	.	..
299 006	1	***						.	.	.		.	.	..
299 007	1	***						.	.	.		.	.	..
299 010	4	***						.	.	.		.	.	..
Independent Study Course Total	8	4.000	100.0 .  .  .  .  .		.	.	.	.	.	.			.  .	.  .
Introduction to Entomology 302 001	28	3.435	32.1 21.4 25.0 ..3.6	.		17.9	.	.	.	.		.	.	..
Physiology of Insects 321 001	31	3.776	71.0 16.1 3.2 ..3.2	.		6.5	.	.	.	.		.	.	..
Parasitology 350 001	14	3.625	50.0 7.1 28.6 ...	.		14.3	.	.	.	.		.	.	..
Plant-Insect Interactions 473 001	10	3.500	20.0 40.0 20.0 ...	.		20.0	.	.	.	.		.	.	..
Plant-Microbe Interactions 505 001	2	***						.	.	.		.	.	..
699 005	1	***						.	.	.		.	.	..
699 009	1	***						.	.	.		.	.	..
699 010	4	***						.	.	.		.	.	..
699 011	1	***						.	.	.		.	.	..
699 012	1	***						.	.	.		.	.	..
699 015	2	***						.	.	.		.	.	..
699 026	2	***						.	.	.		.	.	..
Special Problems Course Total	12	4.000	100.0 .  .  .  .  .		.	.	.	.	.	.			.  .	.  .
Advanced Taxonomy 701 001	10	3.900	90.0 .10.0 ...	.		.	.	.	.	.		.	.	..
Pract-Entomology Teaching 799 009	1	***						.	.	.		.	.	..
Colloquium 801 001	3	***						.	.	.		.	.	..
Special Topics 875 001	13	4.000	92.3 .....	.		7.7	.	.	.	.		.	.	..
Seminar: Organismal Entomol 901 001	11	3.955	90.9 9.1 ....	.		.	.	.	.	.		.	.	..
990 003	4	***						.	.	.		.	.	..
990 006	4	***						.	.	.		.	.	..
990 007	1	***						.	.	.		.	.	..
990 010	5	***						.	.	.		.	.	..
990 026	2	***						.	.	.		.	.	..
990 030	2	***						.	.	.		.	.	..
990 032	4	***						.	.	.		.	.	..
Grad Research & Thesis Course Total	22		.  .  .  .  .  .		.	59.1	.	.	.	40.9			.  .	.  .
August 24, 2020														Page 18 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
ALS													
ENTOMOLOGY Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
355 ENTOM	Grades	GPA											
355 ENTOM Dept. Total	292	3.710	53.8 22.3 7.9 0.3 .  0.7		.	12.0	.	.	.	3.1		.  .	.  .
Summary by Level	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
GPA355 ENTOM	Grades												
Freshmen	8	3.500	.  75.0 .  .  .  .		.	25.0	.	.	.	.		.  .	.  .
Sophomore	41	3.672	41.5 43.9 7.3 .  .  .		.	7.3	.	.	.	.		.  .	.  .
Junior	91	3.669	54.9 27.5 11.0 1.1 .  1.1		.	4.4	.	.	.	.		.  .	.  .
Senior	85	3.714	60.0 16.5 11.8 .  .  1.2		.	10.6	.	.	.	.		.  .	.  .
Undergraduates	225	3.681	52.4 28.0 10.2 0.4 .  0.9		.	8.0	.	.	.	.		.  .	.  .
Special	4	***						.	.	.		.  .	.  .
Graduate	63	3.971	60.3 3.2 .  .  .  .		.	22.2	.	.	.	14.3		.  .	.  .
Dept. Total	292	3.710	53.8 22.3 7.9 0.3 .  0.7		.	12.0	.	.	.	3.1		.  .	.  .
August 24, 2020													Page 19 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204		Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020		University of Wisconsin - Madison										
""		(Non-Cross Listed)										
ALS												
MOLECULAR & ENVIRONMENTA Section #	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
362 M&ENVTOX Grades	GPA											
Toxicology II 626 001 12	3.458	25.0 41.7 33.3 ...	.		.	.	.	.	.	.	.	..
Seminar 800 001 29	4.000	100.0 .....	.		.	.	.	.	.	.	.	..
990 002 1	***						.	.	.	.	.	..
990 012 5	***						.	.	.	.	.	..
990 013 2	***						.	.	.	.	.	..
990 041 1	***						.	.	.	.	.	..
990 042 2	***						.	.	.	.	.	..
990 047 1	***						.	.	.	.	.	..
990 051 2	***						.	.	.	.	.	..
990 057 1	***						.	.	.	.	.	..
990 061 1	***						.	.	.	.	.	..
990 063 1	***						.	.	.	.	.	..
990 069 1	***						.	.	.	.	.	..
990 083 3	***						.	.	.	.	.	..
Research Course Total 21		.  .  .  .  .  .		.	95.2	.	.	.	4.8		.  .	.  .
362 M&ENVTOX Dept. Total 62	3.700	51.6 8.1 6.5 .  .  .		.	32.3	.	.	.	1.6		.  .	.  .
Summary by Level #	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
GPA362 M&ENVTOXGrades												
Senior 3	***						.	.	.		.  .	.  .
Undergraduates 3	***						.	.	.		.  .	.  .
Graduate 56	3.740	53.6 5.4 5.4 .  .  .		.	33.9	.	.	.	1.8		.  .	.  .
Prof Yr 2 1	***						.	.	.		.  .	.  .
Prof Yr 3 2	***						.	.	.		.  .	.  .
Professionals 3	***						.	.	.		.  .	.  .
Dept. Total 62	3.700	51.6 8.1 6.5 .  .  .		.	32.3	.	.	.	1.6		.  .	.  .
August 24, 2020												Page 20 of 447
